id,route,explain
1,POST /api/auth/register,"Register a new user account with email and password"
2,POST /api/auth/login,"Authenticate user credentials and issue access/refresh tokens"
3,POST /api/auth/logout,"Invalidate current session and revoke tokens"
4,POST /api/auth/refresh,"Exchange refresh token for a new access token"
5,POST /api/auth/forgot-password,"Send password reset link to user email"
6,POST /api/auth/reset-password,"Reset password using token from email"
7,POST /api/auth/verify-email,"Verify user email address with confirmation token"
8,POST /api/auth/resend-verification,"Resend email verification link"
9,POST /api/auth/change-password,"Change current user password (requires old password)"
10,GET /api/auth/me,"Get current authenticated user profile and roles"
11,POST /api/auth/2fa/enable,"Enable two-factor authentication for current user"
12,POST /api/auth/2fa/verify,"Verify 2FA code during login or setup"
13,POST /api/auth/2fa/disable,"Disable two-factor authentication"
14,GET /api/users,"List all users with pagination, filter, and search"
15,POST /api/users,"Create a new user account (admin)"
16,GET /api/users/:id,"Get user details by ID"
17,PUT /api/users/:id,"Update user information"
18,DELETE /api/users/:id,"Soft delete user account"
19,PATCH /api/users/:id/activate,"Activate a deactivated user account"
20,PATCH /api/users/:id/deactivate,"Deactivate a user account without deletion"
21,PATCH /api/users/:id/reset-password,"Admin force-reset user password"
22,GET /api/users/:id/sessions,"List active sessions of a user"
23,DELETE /api/users/:id/sessions/:sessionId,"Revoke a specific user session"
24,GET /api/roles,"List all roles in the system"
25,POST /api/roles,"Create a new role"
26,GET /api/roles/:id,"Get role details with permissions"
27,PUT /api/roles/:id,"Update role name and description"
28,DELETE /api/roles/:id,"Delete a role"
29,GET /api/roles/:id/permissions,"List permissions assigned to a role"
30,POST /api/roles/:id/permissions,"Assign permissions to a role"
31,DELETE /api/roles/:id/permissions/:permissionId,"Remove a permission from a role"
32,POST /api/roles/:id/assign,"Assign role to one or more users"
33,GET /api/permissions,"List all available permissions"
34,POST /api/permissions,"Create a new permission"
35,GET /api/permissions/:id,"Get permission details"
36,PUT /api/permissions/:id,"Update permission name and description"
37,DELETE /api/permissions/:id,"Delete a permission"
38,GET /api/employees,"List all employees with filter, search, pagination"
39,POST /api/employees,"Create new employee record"
40,GET /api/employees/:id,"Get full employee profile by ID"
41,PUT /api/employees/:id,"Update employee information"
42,DELETE /api/employees/:id,"Terminate/delete employee record"
43,POST /api/employees/:id/avatar,"Upload employee profile picture"
44,GET /api/employees/:id/documents,"List documents attached to employee"
45,POST /api/employees/:id/documents,"Upload document for employee (CV, contract, ID)"
46,DELETE /api/employees/:id/documents/:docId,"Remove employee document"
47,GET /api/employees/:id/history,"Get employment history (positions, departments, salary)"
48,GET /api/employees/:id/dependents,"List employee family/dependents"
49,POST /api/employees/:id/dependents,"Add dependent record for employee"
